,Unnamed: 0,나이,성별,최종접속일,유입경로,유입기기,회원 가입일,사업자구분,회원구분,주문자ID,Recency,Recency_int,Frequency,Monetary,Total,Rank
1227,1227,24,남자,2019-03-26 오전 11:37,이메일광고,PC,2018-04-12,개인,전화주문 고객,1227V00A1,28 days,28,23,1630020,815023.0,A
1228,1228,46,남자,2018-05-27 오전 9:47,기타,PC,2018-04-12,사업자,사업자,1228V00A1,106 days,106,3,350410,175237.4,C
1229,1229,48,남자,2018-04-12 오전 10:43,기타,모바일,2018-04-12,사업자,사업자,1229V00A1,39 days,39,14,944370,472199.5,B
1230,1230,41,남자,2018-12-20 오후 4:58,지인추천,PC,2018-04-12,사업자,사업자,1230V00A1,130 days,130,6,486750,243415.2,B
1231,1231,53,남자,2018-04-13 오후 2:19,블로그광고,모바일,2018-04-13,개인,관리자,1231V00A1,130 days,130,11,348580,174331.2,C
1232,1232,47,남자,2018-08-01 오후 3:55,잡지광고,모바일,2018-04-13,사업자,사업자,1232V00A1,64 days,64,13,655320,327681.8,B
1233,1233,47,남자,2018-04-13 오후 7:20,잡지광고,모바일,2018-04-13,사업자,사업자,1233V00A1,130 days,130,1,77220,38649.2,D
1234,1234,40,여자,2019-05-25 오전 10:55,SNS광고,모바일,2018-04-13,개인,일반,1234V00A1,130 days,130,5,285960,143020.0,C
1235,1235,45,남자,2019-02-22 오후 3:03,블로그광고,PC,2018-04-13,개인,전화주문 고객,1235V00A1,92 days,92,9,755640,377849.4,B
1236,1236,32,남자,2018-04-13 오후 2:05,이메일광고,PC,2018-04-13,개인,전화주문 고객,1236V00A1,129 days,129,1,101310,50693.9,D
1237,1237,50,남자,2019-04-02 오후 2:24,블로그광고,PC,2018-04-13,사업자,전화주문 고객,1237V00A1,58 days,58,10,1039370,519704.4,B
1238,1238,40,남자,2018-10-22 오후 8:21,SNS광고,모바일,2018-04-13,사업자,사업자,1238V00A1,129 days,129,1,75240,37658.9,D
1239,1239,47,남자,2018-06-05 오전 11:24,SNS광고,모바일,2018-04-14,개인,일반,1239V00A1,129 days,129,2,102190,51134.1,D
1240,1240,47,남자,2018-11-20 오후 6:48,SNS광고,모바일,2018-04-14,개인,일반,1240V00A1,129 days,129,1,96000,48038.9,D
1241,1241,48,남자,2018-04-14 오전 12:15,블로그광고,모바일,2018-04-14,개인,일반,1241V00A1,22 days,22,61,5279420,2639728.8,A
1242,1242,47,남자,2018-04-18 오전 9:33,SNS광고,모바일,2018-04-14,개인,일반,1242V00A1,129 days,129,2,59500,29789.1,D
1243,1243,46,남자,2019-01-14 오후 7:55,SNS광고,모바일,2018-04-14,개인,일반,1243V00A1,129 days,129,3,71050,35564.3,D
1244,1244,40,여자,2019-05-31 오후 3:09,지인추천,모바일,2018-04-14,개인,일반,1244V00A1,129 days,129,1,106920,53498.9,D
1245,1245,48,남자,2019-01-24 오후 5:05,블로그광고,PC,2018-04-14,개인,일반,1245V00A1,128 days,128,15,751290,375686.4,B
1246,1246,48,남자,2018-04-15 오후 9:15,블로그광고,모바일,2018-04-15,개인,일반,1246V00A1,128 days,128,1,49700,24888.6,D
1247,1247,47,남자,2018-04-15 오전 10:31,SNS광고,모바일,2018-04-15,개인,일반,1247V00A1,35 days,35,9,520170,260097.3,B
1248,1248,43,남자,2018-08-24 오후 3:33,지인추천,모바일,2018-04-15,사업자,사업자,1248V00A1,28 days,28,25,1449890,724958.4,A
1249,1249,48,남자,2018-04-15 오후 6:07,블로그광고,모바일,2018-04-15,개인,일반,1249V00A1,128 days,128,1,66500,33288.6,D
1250,1250,55,남자,2018-04-19 오후 9:19,블로그광고,PC,2018-04-15,사업자,사업자,1250V00A1,128 days,128,1,76400,38238.6,D
1251,1251,29,여자,2019-04-28 오후 1:08,잡지광고,PC,2018-04-15,사업자,사업자,1251V00A1,20 days,20,26,2233840,1116931.2,A
1252,1252,48,남자,2018-04-15 오후 5:46,기타,모바일,2018-04-15,개인,일반,1252V00A1,128 days,128,1,82170,41123.6,D
1253,1253,47,남자,2018-04-16 오후 10:11,SNS광고,모바일,2018-04-16,개인,일반,1253V00A1,128 days,128,2,151140,75608.8,D
1254,1254,47,남자,2018-04-23 오전 11:02,블로그광고,PC,2018-04-16,개인,일반,1254V00A1,128 days,128,1,66500,33288.6,D
1255,1255,48,남자,2018-04-16 오전 11:41,블로그광고,모바일,2018-04-16,개인,일반,1255V00A1,42 days,42,18,2057310,1028671.2,A
1256,1256,48,남자,2018-04-16 오후 7:22,블로그광고,모바일,2018-04-16,개인,일반,1256V00A1,128 days,128,2,101220,50648.8,D
1257,1257,45,남자,2018-04-16 오후 5:17,SNS광고,모바일,2018-04-16,사업자,사업자,1257V00A1,23 days,23,12,982310,491164.3,B
1258,1258,47,남자,2018-04-26 오후 1:37,기타,모바일,2018-04-16,사업자,사업자,1258V00A1,128 days,128,1,78870,39473.6,D
1259,1259,55,남자,2018-06-06 오후 4:50,지인추천,모바일,2018-04-16,사업자,사업자,1259V00A1,22 days,22,23,1833390,916706.2,A
1260,1260,55,여자,2018-11-22 오전 11:23,블로그광고,모바일,2018-04-16,사업자,사업자,1260V00A1,128 days,128,6,330660,165369.6,C
1261,1261,32,남자,2018-04-16 오전 10:38,이메일광고,PC,2018-04-16,개인,전화주문 고객,1261V00A1,128 days,128,1,108570,54323.6,D
1262,1262,32,남자,2018-07-30 오후 2:41,이메일광고,PC,2018-04-16,개인,전화주문 고객,1262V00A1,128 days,128,2,147840,73958.8,D
1263,1263,29,남자,2019-04-26 오후 2:30,이메일광고,PC,2018-04-16,개인,전화주문 고객,1263V00A1,47 days,47,26,1268970,634504.3,B
1264,1264,48,남자,2018-04-16 오후 4:17,블로그광고,PC,2018-04-16,개인,일반,1264V00A1,128 days,128,1,78870,39473.6,D
1265,1265,40,남자,2019-05-29 오후 2:54,인터넷검색,모바일,2018-04-16,개인,일반,1265V00A1,75 days,75,5,284280,142163.5,C
1266,1266,47,남자,2019-05-26 오후 4:27,SNS광고,모바일,2018-04-16,개인,일반,1266V00A1,128 days,128,4,367160,183619.2,C
1267,1267,40,여자,2019-05-30 오후 1:57,SNS광고,모바일,2018-04-17,개인,일반,1267V00A1,128 days,128,1,82170,41123.6,D
1268,1268,48,남자,2018-04-17 오후 1:47,블로그광고,모바일,2018-04-17,개인,일반,1268V00A1,128 days,128,4,394690,197384.2,C
1269,1269,47,남자,2018-04-17 오후 3:47,블로그광고,PC,2018-04-17,개인,일반,1269V00A1,32 days,32,9,658100,329061.4,B
1270,1270,48,남자,2018-04-17 오후 1:04,블로그광고,모바일,2018-04-17,개인,일반,1270V00A1,68 days,68,6,514970,257506.6,B
1271,1271,25,여자,2019-05-31 오후 1:53,잡지광고,PC,2018-04-17,사업자,사업자,1271V00A1,20 days,20,19,1282520,641269.8,B
1272,1272,46,남자,2019-05-31 오후 10:22,블로그광고,PC,2018-04-17,개인,일반,1272V00A1,128 days,128,14,788890,394486.2,B
1273,1273,41,남자,2019-05-29 오후 11:12,인터넷기사광고,PC,2018-04-17,개인,일반,1273V00A1,28 days,28,3,271650,135834.0,C
1274,1274,46,남자,2018-10-04 오후 3:30,블로그광고,PC,2018-04-17,개인,일반,1274V00A1,48 days,48,9,884850,442441.2,B
1275,1275,47,남자,2018-04-17 오후 5:49,잡지광고,모바일,2018-04-17,사업자,사업자,1275V00A1,128 days,128,1,116000,58038.6,D
1276,1276,48,남자,2018-04-17 오후 2:41,잡지광고,PC,2018-04-17,개인,일반,1276V00A1,128 days,128,11,543000,271540.6,B
1277,1277,32,남자,2018-10-10 오전 9:01,잡지광고,PC,2018-04-17,개인,전화주문 고객,1277V00A1,128 days,128,2,130670,65373.8,D
1278,1278,40,남자,2019-05-13 오후 3:15,인터넷기사광고,PC,2018-04-17,개인,전화주문 고객,1278V00A1,128 days,128,1,66500,33288.6,D
1279,1279,32,남자,2018-04-17 오후 2:59,이메일광고,PC,2018-04-17,개인,전화주문 고객,1279V00A1,128 days,128,1,99400,49738.6,D
1280,1280,32,남자,2018-04-17 오후 5:27,기타,PC,2018-04-17,개인,전화주문 고객,1280V00A1,77 days,77,8,329610,164829.7,C
1281,1281,40,남자,2019-05-28 오전 10:45,인터넷기사광고,PC,2018-04-17,개인,전화주문 고객,1281V00A1,51 days,51,11,638320,319177.5,B
1282,1282,32,남자,2018-04-17 오후 5:21,이메일광고,PC,2018-04-17,개인,전화주문 고객,1282V00A1,75 days,75,13,547470,273760.1,B
1283,1283,47,남자,2018-04-17 오후 3:06,잡지광고,모바일,2018-04-17,사업자,사업자,1283V00A1,27 days,27,64,4505020,2252530.9,A
1284,1284,44,남자,2018-04-17 오후 1:30,SNS광고,모바일,2018-04-17,사업자,사업자,1284V00A1,55 days,55,7,485470,242752.9,B
1285,1285,47,남자,2018-04-19 오전 9:51,SNS광고,모바일,2018-04-18,개인,일반,1285V00A1,119 days,119,2,133620,66846.1,D
1286,1286,48,남자,2018-04-18 오후 3:47,블로그광고,PC,2018-04-18,개인,일반,1286V00A1,127 days,127,2,263340,131708.5,C
1287,1287,47,남자,2018-04-18 오전 11:01,SNS광고,모바일,2018-04-18,개인,일반,1287V00A1,96 days,96,11,328770,164416.0,C
1288,1288,49,여자,2018-09-04 오전 8:54,블로그광고,모바일,2018-04-18,개인,일반,1288V00A1,127 days,127,3,281280,140678.7,C
1289,1289,32,여자,2019-04-30 오후 3:50,이메일광고,PC,2018-04-18,사업자,사업자,1289V00A1,50 days,50,6,255250,127641.2,C
1290,1290,69,남자,2018-10-17 오후 5:17,신문광고,PC,2018-04-18,사업자,사업자,1290V00A1,44 days,44,17,1028090,514061.6,B
1291,1291,47,남자,2018-04-18 오후 2:45,잡지광고,모바일,2018-04-18,사업자,사업자,1291V00A1,89 days,89,3,214110,107082.3,C
1292,1292,47,남자,2018-04-18 오후 5:19,블로그광고,PC,2018-04-18,개인,일반,1292V00A1,127 days,127,5,436040,218059.1,B
1293,1293,48,남자,2018-05-24 오후 10:37,블로그광고,모바일,2018-04-18,개인,일반,1293V00A1,29 days,29,2,195320,97669.1,D
1294,1294,48,남자,2018-04-18 오전 11:01,기타,모바일,2018-04-18,개인,일반,1294V00A1,23 days,23,9,556850,278433.7,B
1295,1295,48,남자,2018-04-22 오전 10:24,지인추천,모바일,2018-04-18,개인,일반,1295V00A1,66 days,66,6,409900,204971.0,C
1296,1296,47,남자,2018-04-18 오후 4:58,잡지광고,모바일,2018-04-18,사업자,사업자,1296V00A1,20 days,20,43,4121720,2060874.6,A
1297,1297,27,남자,2019-03-05 오전 9:27,이메일광고,PC,2018-04-18,개인,전화주문 고객,1297V00A1,127 days,127,1,22580,11328.3,D
1298,1298,53,남자,2018-09-13 오후 2:47,블로그광고,PC,2018-04-18,사업자,전화주문 고객,1298V00A1,127 days,127,5,231140,115609.1,C
1299,1299,40,남자,2019-05-15 오후 2:14,인터넷기사광고,PC,2018-04-18,개인,전화주문 고객,1299V00A1,127 days,127,1,38390,19233.3,D
1300,1300,36,남자,2019-03-29 오전 10:34,이메일광고,PC,2018-04-18,개인,전화주문 고객,1300V00A1,79 days,79,2,136180,68114.1,D
1301,1301,39,남자,2018-04-18 오후 2:08,인터넷기사광고,PC,2018-04-18,개인,전화주문 고객,1301V00A1,37 days,37,12,723470,361748.5,B
1302,1302,31,남자,2018-10-23 오후 2:38,이메일광고,PC,2018-04-18,개인,전화주문 고객,1302V00A1,127 days,127,5,652140,326109.1,B
1303,1303,33,남자,2018-04-19 오전 8:53,이메일광고,PC,2018-04-18,개인,전화주문 고객,1303V00A1,48 days,48,23,1454110,727074.0,A
1304,1304,43,남자,2018-10-30 오후 2:43,블로그광고,PC,2018-04-18,개인,전화주문 고객,1304V00A1,34 days,34,7,658880,329451.6,B
1305,1305,48,남자,2019-05-15 오후 7:11,기타,PC,2018-04-18,개인,일반,1305V00A1,126 days,126,12,698570,349325.2,B
1306,1306,47,남자,2018-10-03 오후 1:58,기타,PC,2018-04-18,사업자,사업자,1306V00A1,126 days,126,14,896310,448195.6,B
1307,1307,48,남자,2018-04-19 오후 2:21,블로그광고,모바일,2018-04-19,개인,일반,1307V00A1,48 days,48,13,1477280,738657.0,A
1308,1308,40,남자,2019-05-17 오전 8:45,SNS광고,모바일,2018-04-19,개인,일반,1308V00A1,126 days,126,1,76400,38238.0,D
1309,1309,40,여자,2019-05-30 오후 11:03,인터넷기사광고,PC,2018-04-19,사업자,사업자,1309V00A1,126 days,126,1,48500,24288.0,D
1310,1310,43,남자,2018-05-27 오후 1:25,블로그광고,PC,2018-04-19,사업자,사업자,1310V00A1,29 days,29,13,928470,464246.3,B
1311,1311,27,여자,2019-03-18 오후 5:35,이메일광고,PC,2018-04-19,사업자,사업자,1311V00A1,126 days,126,1,76400,38238.0,D
1312,1312,24,남자,2019-05-15 오후 10:35,이메일광고,PC,2018-04-19,사업자,사업자,1312V00A1,48 days,48,26,1841080,920559.6,A
1313,1313,45,남자,2018-04-20 오후 3:58,SNS광고,모바일,2018-04-19,사업자,사업자,1313V00A1,126 days,126,2,158900,79488.2,D
1314,1314,40,남자,2018-05-08 오전 10:33,인터넷기사광고,PC,2018-04-19,개인,전화주문 고객,1314V00A1,89 days,89,2,235800,117927.1,C
1315,1315,38,남자,2018-08-01 오후 2:40,신문광고,PC,2018-04-19,개인,전화주문 고객,1315V00A1,77 days,77,7,1075340,537694.5,B
1316,1316,26,남자,2019-05-07 오후 5:35,기타,PC,2018-04-19,개인,전화주문 고객,1316V00A1,41 days,41,4,379140,189583.1,C
1317,1317,29,남자,2019-01-29 오후 4:55,기타,PC,2018-04-19,개인,전화주문 고객,1317V00A1,126 days,126,2,27440,13758.2,D
1318,1318,31,남자,2018-05-28 오전 10:25,기타,PC,2018-04-19,개인,전화주문 고객,1318V00A1,43 days,43,38,3077950,1538995.5,A
1319,1319,46,남자,2019-05-07 오후 1:31,블로그광고,PC,2018-04-19,개인,전화주문 고객,1319V00A1,42 days,42,8,437130,218579.2,B
1320,1320,32,남자,2018-04-19 오후 3:16,이메일광고,PC,2018-04-19,개인,전화주문 고객,1320V00A1,129 days,129,1,120120,60098.9,D
1321,1321,29,남자,2019-05-23 오전 10:40,이메일광고,PC,2018-04-19,개인,전화주문 고객,1321V00A1,26 days,26,9,594630,297324.6,B
1322,1322,63,남자,2018-04-24 오후 2:40,기타,PC,2018-04-19,개인,전화주문 고객,1322V00A1,126 days,126,2,185720,92898.2,D
1323,1323,45,남자,2018-04-19 오후 7:29,기타,PC,2018-04-19,사업자,사업자,1323V00A1,33 days,33,26,1560500,780265.1,A
1324,1324,48,남자,2018-08-02 오후 6:06,블로그광고,PC,2018-04-19,사업자,사업자,1324V00A1,49 days,49,7,275410,137721.1,C
1325,1325,43,남자,2019-05-09 오후 5:46,기타,PC,2018-04-19,개인,일반,1325V00A1,83 days,83,6,414950,207501.1,C
1326,1326,48,남자,2018-05-10 오후 12:56,블로그광고,PC,2018-04-20,개인,일반,1326V00A1,35 days,35,4,238250,119136.3,C
1327,1327,37,남자,2019-05-28 오후 8:33,SNS광고,모바일,2018-04-20,개인,일반,1327V00A1,126 days,126,1,76400,38238.0,D
1328,1328,44,남자,2019-05-09 오전 9:24,블로그광고,PC,2018-04-20,개인,일반,1328V00A1,100 days,100,7,355570,177816.4,C
1329,1329,47,남자,2018-04-20 오전 12:27,SNS광고,모바일,2018-04-20,개인,일반,1329V00A1,126 days,126,3,129830,64953.4,D
1330,1330,29,남자,2018-11-30 오후 6:31,카카오톡광고,모바일,2018-04-20,사업자,사업자,1330V00A1,72 days,72,4,286490,143267.4,C
1331,1331,46,남자,2018-11-24 오후 10:55,잡지광고,모바일,2018-04-20,사업자,사업자,1331V00A1,126 days,126,2,91130,45603.2,D
1332,1332,26,남자,2019-04-02 오후 2:49,이메일광고,PC,2018-04-20,사업자,전화주문 고객,1332V00A1,126 days,126,3,358380,179228.4,C
1333,1333,37,남자,2018-04-20 오후 5:15,신문광고,PC,2018-04-20,개인,전화주문 고객,1333V00A1,49 days,49,7,403810,201921.1,C
1334,1334,47,남자,2018-04-23 오후 2:50,블로그광고,PC,2018-04-20,사업자,사업자,1334V00A1,126 days,126,1,95810,47943.0,D
1335,1335,48,남자,2018-04-21 오전 12:22,블로그광고,PC,2018-04-21,개인,일반,1335V00A1,126 days,126,3,112010,56043.4,D
1336,1336,48,남자,2018-04-23 오후 2:26,잡지광고,모바일,2018-04-21,개인,일반,1336V00A1,57 days,57,6,400350,200193.3,C
1337,1337,50,남자,2019-04-08 오전 5:59,블로그광고,PC,2018-04-21,사업자,사업자,1337V00A1,71 days,71,27,2145640,1072846.7,A
1338,1338,47,남자,2018-04-22 오후 5:17,기타,모바일,2018-04-22,사업자,사업자,1338V00A1,126 days,126,6,262280,131179.0,C
1339,1339,48,남자,2018-04-23 오후 3:49,블로그광고,모바일,2018-04-23,개인,일반,1339V00A1,77 days,77,41,3092300,1546181.3,A
1340,1340,48,남자,2018-04-23 오후 1:30,블로그광고,모바일,2018-04-23,개인,일반,1340V00A1,58 days,58,25,2728320,1364182.4,A
1341,1341,45,남자,2019-01-11 오후 3:30,블로그광고,PC,2018-04-23,개인,일반,1341V00A1,54 days,54,5,410210,205122.2,C
1342,1342,47,남자,2019-01-23 오후 12:19,SNS광고,모바일,2018-04-23,개인,일반,1342V00A1,43 days,43,22,1495690,747862.3,A
1343,1343,45,남자,2018-04-25 오전 6:09,블로그광고,PC,2018-04-23,사업자,사업자,1343V00A1,33 days,33,5,508050,254035.9,B
1344,1344,47,남자,2018-05-10 오후 3:11,블로그광고,PC,2018-04-23,사업자,사업자,1344V00A1,82 days,82,9,433840,216946.4,B
1345,1345,45,여자,2019-05-27 오후 2:07,블로그광고,PC,2018-04-23,사업자,사업자,1345V00A1,41 days,41,7,414500,207263.7,C
1346,1346,45,남자,2018-05-18 오전 11:05,블로그광고,PC,2018-04-23,개인,전화주문 고객,1346V00A1,125 days,125,4,309660,154868.3,C
1347,1347,25,남자,2019-01-24 오후 3:42,이메일광고,PC,2018-04-23,개인,전화주문 고객,1347V00A1,76 days,76,17,1426120,713086.2,A
1348,1348,32,남자,2019-01-14 오전 10:51,이메일광고,PC,2018-04-23,개인,전화주문 고객,1348V00A1,29 days,29,3,156130,78074.3,D
1349,1349,32,남자,2019-01-14 오전 11:54,이메일광고,PC,2018-04-23,개인,전화주문 고객,1349V00A1,41 days,41,5,427260,213643.3,C
1350,1350,29,남자,2019-05-07 오후 1:33,이메일광고,PC,2018-04-23,개인,전화주문 고객,1350V00A1,24 days,24,23,1634070,817046.8,A
1351,1351,32,남자,2018-04-23 오후 3:00,이메일광고,PC,2018-04-23,개인,전화주문 고객,1351V00A1,20 days,20,14,784540,392278.8,B
1352,1352,48,남자,2018-04-23 오후 6:41,잡지광고,PC,2018-04-23,개인,일반,1352V00A1,23 days,23,40,2524570,1262299.9,A
1353,1353,47,남자,2019-05-14 오전 7:22,지인추천,모바일,2018-04-23,개인,일반,1353V00A1,125 days,125,2,188440,94257.9,D
1354,1354,40,남자,2019-05-22 오후 2:04,인터넷기사광고,PC,2018-04-24,개인,전화주문 고객,1354V00A1,29 days,29,10,640470,320245.7,B
1355,1355,31,남자,2019-01-15 오전 9:52,이메일광고,PC,2018-04-24,개인,전화주문 고객,1355V00A1,23 days,23,3,181490,90752.5,D
1356,1356,47,남자,2018-05-02 오후 3:17,블로그광고,PC,2018-04-25,개인,일반,1356V00A1,21 days,21,10,570020,285018.3,B
1357,1357,48,남자,2019-03-16 오후 3:45,블로그광고,PC,2018-04-25,사업자,사업자,1357V00A1,63 days,63,7,449670,224855.3,B
1358,1358,48,남자,2018-04-25 오후 1:21,블로그광고,모바일,2018-04-25,개인,일반,1358V00A1,23 days,23,32,2203650,1101838.3,A
1359,1359,43,남자,2018-11-19 오후 6:40,블로그광고,PC,2018-04-25,사업자,사업자,1359V00A1,58 days,58,6,369490,184763.6,C
1360,1360,31,남자,2019-05-27 오후 5:06,이메일광고,PC,2018-04-25,개인,전화주문 고객,1360V00A1,41 days,41,12,894000,447014.7,B
1361,1361,29,남자,2019-03-18 오후 4:33,이메일광고,PC,2018-04-25,개인,전화주문 고객,1361V00A1,125 days,125,1,49700,24887.7,D
1362,1362,31,남자,2018-06-04 오후 1:47,이메일광고,PC,2018-04-25,개인,전화주문 고객,1362V00A1,125 days,125,1,113780,56927.7,D
1363,1363,36,남자,2018-08-21 오후 1:32,이메일광고,PC,2018-04-25,개인,전화주문 고객,1363V00A1,124 days,124,1,55870,27972.4,D
1364,1364,48,남자,2018-04-25 오후 2:33,블로그광고,PC,2018-04-25,개인,일반,1364V00A1,42 days,42,15,1002600,501315.6,B
1365,1365,47,남자,2018-04-26 오후 3:26,SNS광고,모바일,2018-04-26,개인,일반,1365V00A1,21 days,21,16,1792830,896424.5,A
1366,1366,50,남자,2018-04-26 오후 12:18,블로그광고,PC,2018-04-26,개인,일반,1366V00A1,21 days,21,8,783800,391907.9,B
1367,1367,43,남자,2018-05-11 오후 7:02,블로그광고,PC,2018-04-26,사업자,사업자,1367V00A1,64 days,64,3,218810,109424.8,C
1368,1368,46,남자,2018-04-28 오전 7:46,블로그광고,PC,2018-04-26,사업자,사업자,1368V00A1,61 days,61,9,579260,289650.1,B
1369,1369,48,남자,2018-05-14 오후 1:49,기타,PC,2018-04-26,사업자,사업자,1369V00A1,124 days,124,4,530400,265238.0,B
1370,1370,39,여자,2019-01-22 오후 1:52,잡지광고,PC,2018-04-26,사업자,사업자,1370V00A1,35 days,35,6,413340,206681.7,C
1371,1371,47,남자,2018-07-17 오전 10:39,기타,PC,2018-04-26,개인,일반,1371V00A1,124 days,124,2,175420,87747.6,D
1372,1372,34,남자,2018-04-26 오후 1:54,이메일광고,PC,2018-04-26,개인,전화주문 고객,1372V00A1,19 days,19,10,591770,295892.7,B
1373,1373,33,남자,2019-01-10 오전 10:37,이메일광고,PC,2018-04-26,개인,전화주문 고객,1373V00A1,124 days,124,7,752070,376073.6,B
1374,1374,40,남자,2019-05-23 오후 2:20,인터넷기사광고,PC,2018-04-26,개인,전화주문 고객,1374V00A1,58 days,58,9,900170,450104.2,B
1375,1375,48,남자,2018-04-26 오후 2:54,블로그광고,PC,2018-04-26,사업자,사업자,1375V00A1,51 days,51,17,918260,459148.7,B
1376,1376,47,남자,2018-04-27 오후 6:11,SNS광고,모바일,2018-04-27,개인,일반,1376V00A1,70 days,70,10,997730,498888.0,B
1377,1377,48,남자,2018-04-27 오후 1:49,블로그광고,PC,2018-04-27,개인,일반,1377V00A1,35 days,35,11,701690,350857.7,B
1378,1378,47,남자,2018-04-27 오후 8:46,블로그광고,PC,2018-04-27,개인,일반,1378V00A1,124 days,124,6,389870,194973.4,C
1379,1379,48,남자,2018-04-28 오전 11:35,블로그광고,PC,2018-04-27,개인,일반,1379V00A1,121 days,121,3,38400,19236.9,D
1380,1380,48,남자,2018-05-08 오후 6:09,블로그광고,PC,2018-04-27,개인,일반,1380V00A1,124 days,124,10,549630,274854.2,B
1381,1381,46,남자,2018-11-02 오후 4:05,블로그광고,PC,2018-04-27,개인,일반,1381V00A1,19 days,19,2,115700,57856.1,D
1382,1382,46,남자,2019-05-20 오후 8:12,블로그광고,PC,2018-04-27,개인,일반,1382V00A1,113 days,113,6,408720,204395.1,C
1383,1383,47,남자,2018-04-27 오후 3:37,SNS광고,모바일,2018-04-27,개인,일반,1383V00A1,121 days,121,10,344250,172163.3,C
1384,1384,40,남자,2019-05-29 오후 1:18,인터넷기사광고,PC,2018-04-27,사업자,전화주문 고객,1384V00A1,78 days,78,8,480660,240355.0,B
1385,1385,29,남자,2019-02-18 오후 2:44,이메일광고,PC,2018-04-27,개인,전화주문 고객,1385V00A1,124 days,124,2,164120,82097.6,D
1386,1386,30,남자,2019-03-11 오전 10:57,이메일광고,PC,2018-04-27,개인,전화주문 고객,1386V00A1,124 days,124,3,183040,91557.8,D
1387,1387,30,남자,2018-11-05 오후 12:43,카카오톡광고,모바일,2018-04-27,사업자,사업자,1387V00A1,124 days,124,2,119750,59912.6,D
1388,1388,48,남자,2018-04-28 오후 3:23,블로그광고,PC,2018-04-28,개인,일반,1388V00A1,31 days,31,7,476610,238315.7,B
1389,1389,47,남자,2018-05-10 오후 7:47,잡지광고,모바일,2018-04-28,사업자,사업자,1389V00A1,43 days,43,8,679130,339579.5,B
1390,1390,44,남자,2019-01-27 오후 9:45,잡지광고,모바일,2018-04-28,사업자,사업자,1390V00A1,123 days,123,1,61900,30987.1,D
1391,1391,48,남자,2018-04-28 오후 7:34,잡지광고,모바일,2018-04-28,개인,일반,1391V00A1,123 days,123,17,418510,209295.3,C
1392,1392,48,남자,2018-04-29 오전 12:29,블로그광고,PC,2018-04-29,개인,일반,1392V00A1,97 days,97,3,263160,131609.7,C
1393,1393,48,남자,2018-08-17 오후 12:42,블로그광고,모바일,2018-04-29,개인,일반,1393V00A1,23 days,23,33,2510370,1255198.5,A
1394,1394,48,남자,2018-04-29 오후 3:59,블로그광고,모바일,2018-04-29,개인,일반,1394V00A1,50 days,50,7,669770,334901.4,B
1395,1395,38,남자,2019-02-20 오후 5:31,SNS광고,모바일,2018-04-30,사업자,사업자,1395V00A1,22 days,22,7,448540,224278.0,B
1396,1396,48,남자,2018-04-30 오후 7:15,블로그광고,PC,2018-04-30,개인,일반,1396V00A1,123 days,123,5,51500,25787.9,D
1397,1397,48,남자,2018-04-30 오후 5:08,블로그광고,PC,2018-04-30,개인,일반,1397V00A1,123 days,123,8,491020,245548.5,B
1398,1398,44,남자,2018-06-23 오전 4:43,블로그광고,PC,2018-04-30,사업자,사업자,1398V00A1,122 days,122,6,400690,200382.8,C
1399,1399,40,남자,2019-04-10 오후 3:09,잡지광고,모바일,2018-04-30,사업자,사업자,1399V00A1,34 days,34,24,854580,427305.0,B
1400,1400,45,남자,2019-01-09 오전 11:25,기타,모바일,2018-04-30,사업자,사업자,1400V00A1,101 days,101,8,460310,230186.9,B
1401,1401,37,남자,2018-10-30 오전 10:49,신문광고,PC,2018-04-30,개인,전화주문 고객,1401V00A1,55 days,55,4,262450,131242.3,C
1402,1402,33,남자,2018-04-30 오후 7:23,이메일광고,PC,2018-04-30,개인,전화주문 고객,1402V00A1,122 days,122,3,312670,156372.2,C
1403,1403,32,남자,2018-09-18 오전 11:55,이메일광고,PC,2018-04-30,개인,전화주문 고객,1403V00A1,56 days,56,8,676590,338313.4,B
1404,1404,36,남자,2019-04-30 오후 3:34,이메일광고,PC,2018-05-01,개인,일반,1404V00A1,90 days,90,2,158620,79337.4,D
1405,1405,47,남자,2018-05-03 오후 4:17,블로그광고,PC,2018-05-01,개인,일반,1405V00A1,122 days,122,1,63070,31571.8,D
1406,1406,47,남자,2018-11-03 오후 5:10,SNS광고,모바일,2018-05-01,개인,일반,1406V00A1,37 days,37,7,548620,274322.5,B
1407,1407,47,남자,2018-06-07 오전 9:19,SNS광고,모바일,2018-05-01,개인,일반,1407V00A1,121 days,121,10,993970,497023.3,B
1408,1408,49,남자,2018-05-08 오후 4:14,잡지광고,모바일,2018-05-01,사업자,사업자,1408V00A1,23 days,23,3,145800,72907.5,D
1409,1409,48,남자,2018-05-08 오후 11:58,블로그광고,모바일,2018-05-01,개인,일반,1409V00A1,26 days,26,37,2363400,1181715.2,A
1410,1410,49,남자,2019-03-14 오후 3:47,블로그광고,PC,2018-05-01,사업자,사업자,1410V00A1,121 days,121,1,63620,31846.5,D
1411,1411,30,남자,2019-05-27 오전 10:17,카카오톡광고,모바일,2018-05-02,개인,일반,1411V00A1,77 days,77,15,896940,448496.1,B
1412,1412,48,남자,2018-07-27 오전 10:57,블로그광고,모바일,2018-05-02,개인,일반,1412V00A1,121 days,121,8,477300,238687.9,B
